STATE,state,abbrev,Summary
NEW HAMPSHIRE,New Hampshire,NH,"Summary: Loss & restoration of civil rights:  Vote and office eligibility lost upon conviction of any felony only while actually incarcerated; jury eligibility lost upon conviction of any felony that has not been annulled. Firearms rights:  All firearms rights lost for felonies “against the person or property of another” or a felony drug offense; restored by pardon or judicial annulment of nonviolent offenses. Pardon policy & practice:  Governor may not act without affirmative recommendation of Executive Council.  Persons eligible for “annulment” under state law generally are not considered for a pardon.  No public hearing; notice to prosecutor.  Pardon eliminates all consequences of conviction but does not expunge.  Pardons infrequent. Judicial expungement & sealing:  Less serious, nonviolent offenses may be “annulled” after 1–10 year waiting period, with recidivists waiting longer. Juvenile records sealed upon reaching age 21. Non-conviction data may be annulled by court subject to “public welfare” standard.  Annulment results in being treated as if having “never been arrested, convicted or sentenced;” Effective 2013, annulled records not publicly available except to law enforcement. Consideration of conviction in employment and licensing:  2018 law requires licensing boards to justify disqualification in public safety terms, sets standards and procedures for licensing, permits preliminary determination of qualification based on conviction, requires written reasons for denial and permits appeals.  Inquiry into annulled offenses is limited."
NEW JERSEY,New Jersey,NJ,"Summary: Loss & restoration of civil rights:  Vote and jury eligibility lost upon conviction of any crime that is not a petty offense; office eligibility is forfeited upon conviction of a serious crime or one involving dishonesty while in office.  Vote restored upon completion of sentence; jury eligibility restored only by pardon; office eligibility is lost permanently if the offense is one “involving or touching on” the office. Firearms rights:  All firearms rights lost upon conviction for specific violent crimes and may be denied a handgun permit or FID card for any crime or domestic violence offense.  Restored by pardon or gubernatorial restoration of rights. Pardon policy & practice:  Governor decides and may consult parole board; governor must report pardons, with reasons, to legislature.  No eligibility criteria.  No public hearing required.  Pardon restores rights and makes eligible for expungement.  Pardons infrequent. Judicial expungement & sealing:  Expungement of “indictable” offenses (felonies), “disorderly persons” offenses (misdemeanors), “petty disorderly persons” offenses, and municipal offenses, with different waiting periods depending on offense (most serious and violent offenses ineligible). Petition for expungement of indictable offense may include up to two petitions for expungement of disorderly person/petty disorderly person offenses (three, effective October 1, 2018); up to three disorderly person/petty disorderly person offenses may be expunged at same time (four, effective October 1, 2018), if no indictable offense conviction. Expungement of most drug offenses upon successful completion of drug court. Juvenile records may be expunged after a five-year waiting period with no subsequent convictions (waiting period reduced to three years effective October 1, 2018).  Deferred adjudication for minor drug offenses and expungement after six-month waiting period; expungement of arrest and other non-conviction records at time of disposition. Sentencing court or supervisory authority may issue certificate evidencing rehabilitation that “suspends certain disabilities, forfeitures or bars to employment or professional licensure.”  Only people with state offenses eligible. Consideration of conviction in employment and licensing:  2014 Opportunity to Compete Law imposes ban-the-box rule in public and private employment (no inquiry into criminal history until after first interview). Licensing authorities may not discriminate on grounds of conviction unless reasonably related to occupation.  Pardon, expungement, or certificate of rehabilitation precludes licensing authorities from discriminating against or disqualifying an applicant.  A certificate of rehabilitation issued by sentencing court or supervisory agency is effective to remove bars to public employment, with certain exceptions."
NEW MEXICO,New Mexico,NM,"Summary: Loss & restoration of civil rights:  All civil rights lost upon conviction of any felony.  Vote and jury eligibility restored upon completion of sentence; office eligibility restored by pardon. Firearms rights:  All firearms rights lost upon conviction of any felony for 10 years after completion of sentence; may be restored earlier by pardon. Pardon policy & practice:  Governor decides and may consult parole board.  Eligibility begins after completion of sentence with current policy requiring longer waiting periods and non-consideration for certain serious offenses.  No public hearing required; victim notified.  Restores rights and removes disabilities but does not expunge.  Pardons infrequent. Judicial expungement & sealing:  Deferred sentencing available for all but first-degree felony cases; civil rights restoration but no expungement under pre-2010 law.  Also under pre-2020 law, judicial expungement available for first offense drug possession only if under age 18 at time of offense, and administrative expungement of arrest records for misdemeanors only.  Court may seal juvenile delinquency records after two years.  Effective January 1, 2020, a comprehensive new expungement law will authorize courts to limit public access to non-conviction records one year after disposition as long as no other charges are pending, and to most convictions for felonies, misdemeanors and municipal ordinances after varying waiting periods. Consideration of conviction in employment and licensing:  In public employment and licensing decisions, agencies may consider conviction, but conviction may not be an automatic bar to employment/licensure.  There exists a presumption of rehabilitation three years after release or completion of parole/probation.  Reasons for denial must be stated in writing.  State-wide ban-the-box for public employment (no inquiry into criminal history on initial application and no consideration until applicant is finalist).  A 2019 law extends prohibition of application-stage inquiry to private employers, although they may request criminal history information during a discussion with the applicant and deny employment as a result."
NEW YORK,New York,NY,"Summary: Loss & restoration of civil rights:  Vote lost upon conviction of any felony if sentenced to a term of actual imprisonment; jury eligibility lost upon conviction of any felony; office forfeiture and disqualification depends upon offense and office.  Vote restored upon completion of sentence, including parole; jury eligibility restored by pardon.  By Executive Order, Parolees eligible for conditional pardon to restore vote. Firearms rights:  All firearms rights lost upon conviction of any felony or serious offense; restored by pardon or by Certificate of Good Conduct. Pardon policy & practice:  Governor decides and may consult parole board; governor must report pardons, with reasons, to legislature annually.  No eligibility criteria; applicants generally not considered if alternative administrative remedies are available.  No public hearing required.  Pardon “exempts from further punishment” based on the conviction.  Special pardon program under Gov. Cuomo that applies to people convicted of misdemeanors or nonviolent felonies at age 16 or 17; recommended if 10 crime-free years.  Pardons infrequent and process irregular. Judicial expungement & sealing:  Effective October 2017, sealing of up to two convictions (only one felony) after 10-year waiting period for all crimes except sex offenses, class A and violent felonies. Conditional sealing of certain drug and other felony offenses and up to three misdemeanor convictions upon completion of diversion program; sealing also applicable to juvenile adjudications and proceedings.  Mandatory sealing of non-conviction records upon termination of the action in favor of the accused unless DA demonstrates “that the interests of justice require otherwise.”  Automatic expungement oif minor marijuana convictions. A Certificate of Relief from Disabilities (CRD) or a Certificate of Good Conduct (CGC) may be obtained to restore certain rights, may be limited to one or more specific rights. CRD available to individuals with no more than one felony, as early as sentencing; CGC available to individuals with multiple felonies after 1-5 year waiting period.  Persons residing in New York with convictions from other states or with federal convictions may qualify for certificates. Consideration of conviction in employment and licensing:  General non-discrimination law prohibits discrimination in employment and licensing based on conviction; to form basis of denial, there must be a direct relationship and unreasonable risk to property or safety; applicant is entitled to reasons for denial. Persons with CRD or CGC entitled to presumption of rehabilitation in “direct relationship” determination. Protection from negligent hiring liability. Ban-the-box by executive order in public employment (no inquiry into prior convictions until initial hiring decision made); broader ban-the-box in New York City under Fair Chance Act for public and private employment (no inquiry until initial offer made)."
NORTH CAROLINA,North Carolina,NC,"Summary: Loss & restoration of civil rights:  All civil rights lost upon conviction of any felony; restored upon completion of sentence. Firearms rights:  All firearms rights lost upon conviction of any felony, with certain exceptions; restored by pardon or by court for nonviolent first felony offenses 20 years after completion of sentence. Pardon policy & practice:  Governor decides and may consult parole board.  Eligibility begins five years after completion of sentence.  No public hearing required; DA and victim must be notified, with victim allowed to offer written statement.  Depending on type of pardon, effects range from assistance in securing employment to full restoration of rights, including firearms rights.  Pardons rare. Judicial expungement & sealing:  Nonviolent misdemeanors may be expunged after 5 years and minor nonviolent felonies after 10 years. (Waiting period is 15 years for all offense levels until December 1, 2017). Must have no other convictions or expunctions. Deferred adjudication for first-time minor drug offenses; expunction only if under age 22.  First offense felonies, misdemeanors, and certain juvenile offenses committed under age 18 or 21 may be expunged following a waiting period.  Records may be expunged where charges dismissed or person acquitted, if the person has no prior felony convictions. Effective December 1, 2017, the additional eligibility requirement of no prior expungements was repealed.  In addition, courts were specifically authorized to redact conviction records to expunge dismissed charges. Certificate of Relief available from sentencing court one year after completion of sentence; for individuals with a limited number of misdemeanors and minor felonies, and no other felony or misdemeanor convictions. Relieves mandatory collateral consequences, certifies no public safety risk, provides negligent hiring protection. Consideration of conviction in employment and licensing:  Occupational licensing boards prohibited from denying license unless conviction “directly related” to duties and responsibilities for the licensed occupation or the conviction is for a crime that is violent or sexual in nature. BY virtue of 2019 law, agencies must consider certain factors, including whether the individual has a Certificate of Relief, and must given reasons for denial in writing.  May apply for “predetermination” which, if favorable, is binding on board. Boards required to report number of applications received from people with a criminal record, number granted and denied based on conviction. Certificate of Relief evidence of due care in negligent hiring proceedings."
NORTH DAKOTA,North Dakota,ND,"Summary: Loss & restoration of civil rights:  All civil rights lost upon conviction of any felony while actually incarcerated, with certain offenses excepted for jury eligibility.  Restored upon release. Firearms rights:  All firearms rights lost for 10-year period upon conviction of a felony involving violence or intimidation, and for a five-year period for nonviolent felonies and Class A misdemeanors.  Restored by pardon only. Pardon policy & practice:  Governor decides and may consult pardons board.  No formal eligibility criteria, but applicant must demonstrate “compelling need.”  No public hearing; DA notified.  Relieves collateral penalties but no expungement. Pardons infrequent. Judicial expungement & sealing:  Effective August 1, 2019, misdemeanor and felony convictions may be sealed upon petition, with waiting periods of 3 and 5 years, respectively, except that violent offenses must wait 10 years after completion of sentence.  Minor felony convictions may be set aside and knocked down to misdemeanors after successful probation, but no expungement except for non-conviction records.  First offense marijuana possession may be sealed by court if no subsequent conviction for two years.  Deferred adjudication and deferred imposition of sentence available, with sealing after successful completion.  Juvenile records generally confidential, and may be destroyed upon petition and showing of good cause. Consideration of conviction in employment and licensing:  Licenses for most professions and occupations may be denied only if offense has direct bearing or if there is insufficient rehabilitation.  Applicant is entitled to written statement of reasons for denial."
OHIO,Ohio,OH,"Summary: Loss & restoration of civil rights:  Vote lost upon conviction of any felony while actually incarcerated; jury and office eligibility lost upon conviction of any felony, with certain offenses involving malfeasance in office resulting in a seven-year or permanent disqualification from office.  Vote restored upon release; jury eligibility restored upon completion of sentence. Firearms rights:  Firearms rights lost only for felony crimes of violence and drug offenses; restored by court upon application after completion of sentence. Pardon policy & practice:  Governor decides but must consult parole board for non-binding advice; governor must report pardons to legislature.  Eligibility at any time.  Public hearings; no reasons given.  Pardon “erases” conviction and entitles recipient to sealing.  Pardon policy varies with administration.  Though process regular, pardons granted sparingly by present governor (Kasich). Judicial expungement & sealing:  Sealing for up to one felony, up to two misdemeanors, or up to one felony and one misdemeanor, after a 1–3 year waiting period upon finding of rehabilitation (excluding certain serious offenses).  2018 law authorizes sealing of up to five minor nonviolent offenses.  Sealing available for out-of-state and federal offenses.  Intervention in lieu of conviction available for certain non-serious first offenses.  Delinquency records may be sealed six months following discharge, except murder or rape.  Sealing of non-conviction records.  Expungement also available for victims of human trafficking.Court-issued Certificate of Qualification for Employment (CQE) removes specified mandatory occupational and licensing consequences and creates presumption of fitness; 1-year waiting period for felonies, 6 months for misdemeanors. Consideration of conviction in employment and licensing:  May be questioned about sealed conviction only if it bears direct and substantial relationship to the position sought.  CQE evidence of due care in negligent hiring proceeding. Ban-the-box in public employment (no question about criminal history on application).  Licensing boards are generally authorized to deny licensure based on criminal record only for specified offenses substantially related to a person’s fitness and ability to perform.  Effective April 5, 2019, licensing boards must publish on the internet a list of disqualifying convictions and preliminary determination authorized for whether a conviction will disqualify for licensing."
OKLAHOMA,Oklahoma,OK,"Summary: Loss & restoration of civil rights:  Vote and jury right lost upon conviction of any felony.  Office eligibility lost upon conviction of any felony and misdemeanors involving embezzlement.  Vote restored upon completion of court-imposed sentence; jury eligibility restored by pardon; office eligibility restored 15 years after completion of sentence or by pardon. Firearms rights:  Loss of concealed weapons privileges upon conviction of any felony; restoration for nonviolent felony convictions by full pardon. Pardon policy & practice:  Governor may not act without affirmative recommendation of Board of Pardons and Parole; governor must report pardons, but not reasons, to legislature.  Eligibility begins after completion of sentence.  Public hearings with favorable recommendations made public but no reasons given.  Applicant not required to appear. Relieves legal disabilities, except firearms; grounds for expungement for people with nonviolent offenses.  About 100 grants per year (80% of applicants). Process takes about 6 months. Judicial expungement & sealing:  Effective Nov. 1, 2019, a single nonviolent felony conviction may be expunged (sealed) 5 years after completion of sentence, if no charges pending.  Two nonviolent felonies may be expunged after 10 years if no charges are pending. Misdemeanors may be expunged after 5 years if no prior felonies and no charges pending, except that the waiting period is waived if the sentence involves a fine less than $500 and no (or suspended) prison term, upon satisfaction of fine.   Pardoned offenses may be expunged with no waiting period. Deferred adjudication and probation leading to expungement for misdemeanors and first-time minor felony offenses, after waiting period (5 years for felonies, one year for misdemeanors); deferred adjudication leading to automatic expungement for people with first-time drug offenses.  Records of juvenile adjudications may be expunged upon reaching age 21 with no subsequent convictions.  Non-conviction records may be expunged in case of acquittal or if no charges filed, and in case of dismissed charges only if no other felony convictions and statute of limitation has passed. Consideration of conviction in employment and licensing:  No public or private employer may ask about or consider a sealed conviction. Most specialized licensing boards may not deny/revoke license based on conviction unless substantial relationship or threat to public safety. Juvenile adjudications not considered arrest or conviction for any public or private purpose (e.g., employment, civil rights). Ban-the-box by executive order for public employment (no question about criminal history on employment application, unless felony would automatically disqualify, but may ask during interview process)."
OREGON,Oregon,OR,"Summary: Loss & restoration of civil rights:  All civil rights lost upon conviction of any felony while actually incarcerated; restored upon release. Firearms rights:  All firearms rights lost upon conviction of any felony.  Automatically restored 15 years after completion of sentence for felony first offenses except those convicted of homicide or weapons offenses; otherwise restored by pardon or expungement. Pardon policy & practice:  Governor decides; must report pardons, with reasons, to legislature.  Eligibility generally extends only to misdemeanors and minor felonies for which set-aside is available.  No public hearing required.  Relieves all legal disabilities, results in sealing. Pardons infrequent. Judicial expungement & sealing:  Less serious, nonviolent misdemeanor and felony offenses may be set aside after a 1–20 year waiting period if there are no other convictions in the past 10 years or arrests within the past 3 years; expanded availability for set-aside of marijuana offenses after 2015 legislation. Set-aside restores all rights, relieves all disabilities, and seals the record of the conviction.  As of June 2019, sealing also available for pardoned convictions. Juvenile expungement and sealing upon reaching age 18 after a 5-year waiting period.  Set-aside of non-conviction records one year after arrest if no charges filed, or any time after an acquittal or dismissal. Consideration of conviction in employment and licensing:  May consider conviction, but may not bar licensure solely on those grounds; teachers licenses excepted. Ban-the-box in public and private employment, with some exceptions (no inquiry into criminal history before initial interview or, if no interview, before conditional offer made)."
PENNSYLVANIA,Pennsylvania,PA,"Summary: Loss & restoration of civil rights:  Vote lost upon conviction of any offense while actually incarcerated; jury eligibility lost upon conviction of any crime punishable by more than one-year imprisonment; office eligibility lost upon conviction of any felony.  Vote restored upon release; jury and office eligibility restored by pardon only. Firearms rights:  Firearms rights lost for specified felony offenses, drug crimes, three or more DUI offenses within a five-year period, domestic violence offenses, and additional specified criminal conduct.  Restored upon application to a court, generally 10 years after completion of sentence. Pardon policy & practice:  Governor may not act without affirmative pardon board recommendation.  No eligibility requirements.  Public hearings with favorable recommendations announced publicly; no reasons given.  Relieves all legal disabilities; grounds for expungement.  Process regular and about 100-150 pardons per year (fewer under present governor). Judicial expungement & sealing:  Sealing (“order for limited access”) for 2nd and 3rd degree misdemeanors and ungraded offenses after 10-year waiting period; ineligible if convicted of certain offenses, offenses punishable by more than 2 years imprisonment, or four or more offenses punishable by one or more years. Sealed records not available to public, private employers, or landlords, but remain available to licensing agencies and other state and criminal justice agencies.  Effective December 30, 2018, eligibility criteria for sealing by court petition are eased, and licensing boards will not longer have access to sealed records. Effective June 30, 2019, eligible cases will be identified by computer and submitted to the court for sealing without need for a petition. Expungement available for “summary” offenses after five years; “violations” (submisdemeanors); and for those aged 70 if no arrests for 10 years.  Mandatory expungement for pardoned offenses; underage drinking offenses if over 21.  Juvenile expungement available if: charges dropped; six months after discharge of consent decree/supervision; upon reaching age 18; or five years after delinquency adjudication. Mandatory expungement for non-conviction records if no disposition indicated after 18 months, or by court order; expungement available for “probation before judgment” cases for nonviolent, first-time drug offenses. Authority to redact conviction records to expunge dismissed charges. Consideration of conviction in employment and licensing:  Felony and misdemeanor convictions may be considered only to the extent they “relate to” an applicant’s suitability for employment/licensure in the position sought.  Ban-the-box in public employment by executive policy (no inquiries into criminal history on application and limits on consideration in hiring process)"
RHODE ISLAND,Rhode Island,RI,"Summary: Loss & restoration of civil rights:  Vote lost upon conviction of any felony while actually incarcerated; jury eligibility lost upon conviction of any felony; office eligibility lost upon conviction of any felony or misdemeanor resulting in a jail sentence of six months or more.  Vote restored upon release; jury eligibility restored upon completion of sentence; office eligibility restored three years after completion of sentence or earlier by pardon. Firearms rights:  Firearms rights lost for “crime of violence” convictions; restoration to people with felony domestic violence offenses after two years, otherwise by pardon. Pardon policy & practice:  Governor decides but may not act without affirmative recommendation of state senate.  No eligibility requirements.  No process specified.  Restores right to hold public office and lifts occupational and licensing bars.  Pardons rare (none since 2000). Judicial expungement & sealing:  Expungement for people with felony first offenses not convicted of specified violent offenses and for individuals with up to 6 misdemeanors 5–10 years after completion of sentence. Discretionary expungement available immediately upon completion of deferred sentence.  Automatic sealing of juvenile records with limited exceptions.  Sealing of records of acquittals or other exonerations, if no prior conviction. A person with no more than one nonviolent felony conviction may apply to the Parole Board for a “certificate of recovery & re-entry” which may serve to relieve some collateral consequences.  Persons with federal or out-of-state convictions are eligible to apply. Consideration of conviction in employment and licensing:  State-wide ban-the-box for public and private employment (no inquiry into criminal history until first interview)."
SOUTH CAROLINA,South Carolina,SC,"Summary: Loss & restoration of civil rights:  Vote and office eligibility lost upon conviction of any felony, violation of election laws, or misdemeanor if sentenced to prison; jury eligibility lost upon conviction of any felony.  Vote and office eligibility restored upon completion of sentence; jury eligibility restored by pardon. Firearms rights:  Handgun rights lost upon conviction for a “crime of violence,” including serious drug trafficking; restored by pardon. Pardon policy & practice:  Independent board appointed by governor exercises pardon power, except in capital cases.  Eligibility following completion of sentence or after five years under supervision and payment of restitution in full.  Public hearings.  Pardon erases all legal effects of conviction, including sex offender registration and predicate effect. About 300 pardon grants each year, 65% of applicants. Judicial expungement & sealing:  Expungement for first-offense misdemeanors if no other conviction within three years, for first-time minor drug offenses, and for various other minor offenses. Juvenile expungement at age 18 for people with non-violent first offenses, with exceptions for serious crimes.  Non-conviction records destroyed if charges dismissed or person acquitted.  In 2018, the South Carolina legislature overrode a governor’s veto to extend eligibility for expungement in several modest but significant ways, including making first-offense drug possession offenses eligible for the first time, eliminating first offense limits on eligibility of summary offenses, and authorizing relief in first offense cases prosecuted prior to passage of the Youthful Offender Act of 2010 who would have been eligible for sentencing under that law. Consideration of conviction in employment and licensing:  Conviction may be considered, but applicant may not be denied a license solely due to a conviction unless the criminal conviction is directly related to the profession/occupation."
SOUTH DAKOTA,South Dakota,SD,"Summary: Loss & restoration of civil rights:  Vote lost upon conviction of any felony; jury eligibility lost upon conviction of any felony only if actually incarcerated, including a suspended sentence.  By statute, office eligibility is same as jury eligibility; by state constitution, office eligibility is same as voting.  All civil rights restored upon completion of sentence. Firearms rights:  All firearms rights lost upon conviction for any “crime of violence” and certain drug felonies; restored after 15 years if no other such convictions or by pardon. Pardon policy & practice:  Governor refers applicants to Board of Pardons and Paroles, which must recommend pardon in order to have record sealed.  In general, must wait five years to apply. Public hearings; notice to DA and judge with publication in newspaper in county where crime committed.  Relieves legal disabilities, no predicate effect. Process takes about six months. In 2014, the Board of Pardons and Paroles implemented a policy that expedites the pardon process for certain nonviolent misdemeanors, with waiting periods of 5 and 10 years.  About 30-40 grants annually, 60% of applications. Judicial expungement & sealing:  Records of petty offenses, class 2 misdemeanors, and municipal ordinance violations automatically sealed (removed from public record) after 10 years.  Sealing following deferred adjudication for first felony offenses, except for serious offenses (restores person to pre-arrest status).  Pardon automatically seals record.  Sealing of juvenile records upon petition after a waiting period with finding of rehabilitation.  Non-conviction records may be expunged one year after arrest if no charges filed; at any time after acquittal, or after dismissal with consent of prosecutor. Consideration of conviction in employment and licensing:  No general law regulating consideration of conviction."
TENNESSEE,Tennessee,TN,"Summary: Loss & restoration of civil rights:  All civil rights lost upon conviction of any felony.  Vote restored upon completion of sentence; jury and office eligibility restored by application to the court. Firearms rights:  Handgun rights forfeited upon conviction of felony; violent or drug convictions (including misdemeanors) forfeit all firearms rights.  Restoration for people with nonviolent non-drug felony offenses by pardon, judicial order, expungement, set-aside, or certificate of restoration; restoration for violent or drug crimes by expungement only. Pardon policy & practice:  Governor decides and may consult parole board; governor must report reasons to legislature “when requested.”  Eligibility after completion of sentence and additional period of good conduct, demonstrated rehabilitation, and need.  Public hearing with notice to prosecutor; prior to a grant being made public, governor must notify AG and DA, who notify the victim.  Limited legal effect; restores firearms rights for nonviolent non-drug offenses, but does not restore civil or other rights. Pardons infrequent. Judicial expungement & sealing:  Expungement for certain less-serious, nonviolent offenses 5 years after completion of sentence if no more than two convictions, both of which must be eligible (multiple contemporaneous convictions treated as single offense), and only one a felony.  Expungement in first-offense deferred adjudication & pretrial diversion cases for misdemeanors and Class D felonies.  Expungement of pardoned offenses. Mandatory expungement of juvenile record after one year if solely “misdemeanors”; discretionary expungement for other juvenile records beginning at age 17 after a one-year waiting period with certain eligibility requirements. Expunged convictions treated as if they never occurred, public records destroyed.  Court must destroy public records in cases of acquittal or where charges have been dismissed. Courts may also redact conviction records to expunge dismissed charges. Judicial restoration of rights available upon petition after expiration of sentence if petitioner “merits having full rights of citizenship restored.” Individuals who have had or sought to have had rights restored may also petition court for a Certificate of Employability.  Persons with qualifying convictions from other states or with federal convictions may apply for restoration of rights and certificates. Consideration of conviction in employment and licensing:  Certificates of Employability lift certain licensing disqualifications and protect employers from negligent hiring liability. Licensing standards for some agencies relaxed. 2018 Fresh Start Act sets standards and procedures for licensing in most occupations, permits preliminary determination of qualification based on conviction, permits appeal of denials.  Ban-the-Box in public employment (no inquiry into criminal history on initial application, but may inquire after initial screening and must allow applicant to explain; employer must consider certain factors if applicant has criminal record); Memphis ban-the-box ordinance in municipal hiring prevents inquiry into criminal history until conditional offer made."
TEXAS,Texas,TX,"Summary: Loss & restoration of civil rights:  Vote and jury eligibility lost upon conviction of any felony; office eligibility lost upon conviction for bribery, among other offenses.  Vote restored upon completion of sentence; jury and office eligibility restored by pardon or gubernatorial restoration of rights. Firearms rights:  All firearms rights lost upon conviction of any felony; restored five years after completion of sentence only for the premises in which the individual lives. Pardon policy & practice:  Governor may not act without affirmative recommendation of Board of Pardons and Paroles.  Eligibility upon completion of sentence; people with misdemeanors may apply.  No public hearing.  Restores civil rights and removes some legal barriers to employment and licensing; basis for expungement.  Procss regular but pardons granted sparingly. Judicial expungement & sealing:  Sealing (“order of nondisclosure”) for most first-offense misdemeanors, upon completion of sentence or after a two-year waiting period for more serious misdemeanors; effective September 1, 2017, sealing available for less serious first-offense DWI offenses after 2-5 year waiting period, and for victims of human trafficking. Deferred adjudication may result in sealing (OND) for most offenses, with a five-year waiting period for felonies; automatic sealing for many first-offense nonviolent misdemeanors.  “Expunction” available for deferred adjudication of class C misdemeanors; non-conviction records, pardoned convictions.  Automatic sealing at age 19 for misdemeanor juvenile adjudications and non-conviction records; discretionary sealing upon petition at age 18 or two years after discharge. Consideration of conviction in employment and licensing:  Licensing agencies may deny, suspend, or revoke license based on criminal record only if conviction “directly relates to the duties and responsibilities of the licensed occupation.” Certain crimes excepted.  As of 2019, licensing agencies may not consider non-conviction records (other than deferred adjudication). Standards for determining “direct relationship” enhanced in 2019, and procedures adopted that year require written reasons for denial and an opportunity to respond.  Protection from negligent hiring liability."
UTAH,Utah,UT,"Summary: Loss & restoration of civil rights:  Vote lost upon conviction of any felony or election-related misdemeanor, unless sentenced to probation; jury and office eligibility lost upon conviction of any felony.  Vote restored upon completion of sentence or by pardon; jury eligibility restored by expungement; office eligibility restored by expungement or after passage of 10 years since conviction and completion of sentence, including any period of supervision. Firearms rights:  All firearms rights lost upon conviction of any felony; restored by expungement (except violent offenses) or pardon. Pardon policy & practice:  Independent board appointed by the governor; majority vote required with reasons given.  Eligibility five years after expiration of sentence, restricted to offenses ineligible for expungement.  Public hearings; notice to DA and victim.  Restores civil rights.  Pardons infrequent. Judicial expungement & sealing:  All but serious and violent offenses may be expunged after a 3–10 year waiting period, and order must issue unless court finds this would be “contrary to public interest.”  Fines and restitution must be paid.  Eligibility may also depend upon prior record, though disqualifying offenses have been restricted in recent years.  Pardon entitles person to expungement.  Expungement of non-conviction records available if acquitted; or, if charges dismissed with prejudice, or without prejudice and time for refiling passed; Class C misdemeanors receiving deferred adjudication also may qualify.  A clean slate law, effective May 1, 2020, provides for automatic expungement or deletion of certain non-conviction, infraction, and misdemeanor records.  Juvenile records may be expunged after reaching age 18 following a one-year waiting period if no adult criminal record. Consideration of conviction in employment and licensing:  Ban-the-box in public employment (no inquiry into criminal history until interview or conditional offer made). Persons with expunged convictions may respond to inquiry as if conviction never occurred, but licensing agency, state office of education and peace officer standards training may receive information on expunged records upon request.  Preliminary determination authorized for whether a criminal record will disqualify for licensing (effective May 14, 2019)."
VERMONT,Vermont,VT,"Summary: Loss & restoration of civil rights:  Vote and office eligibility not lost.  Jury eligibility lost upon conviction of any felony; restored only by pardon. Firearms rights:  No firearms rights lost under state law, but court may prohibit possession of firearms as a condition of probation. Pardon policy & practice:  Governor decides and may consult parole board.  Eligibility generally 10 years after conviction; must show rehabilitation, benefit to society, and employment-related need.  No hearing.  Restores rights and relieves disabilities, including firearms.  Pardons infrequent. Judicial expungement & sealing:  Uniform Collateral Consequences of Conviction Act (UCCCA) authorizes targeted relief from court at sentencing (Order of Limited Relief), and more thorough relief after five years (Certificate of Restoration of Rights).  Persons with convictions from other states or with federal convictions are eligible for relief under these provisions. Expungement or sealing available for “qualifying” crimes (nonviolent non-sexual misdemeanors and four minor felonies after a 5-year waiting period if no further convictions (if subsequently convicted, must wait minimum of 10 years if no felonies within prior 7 years and no misdemeanor convictions within prior 5 years).  Deferred sentencing and diversion may result in expungement; sealing available under first-offense diversion program two years after successful completion.  Convictions for offenses committed under age 21 may be sealed two years after discharge if deemed rehabilitated.  Court must expunge or seal non-conviction records after a short waiting period unless government objects. Consideration of conviction in employment and licensing:  In over 40 professions, conviction of any felony or a crime “related to” the profession is grounds for denial of license. Ban-the-box in public and private employment (no inquiries into criminal history until interview or otherwise deemed qualified; inquiry on initial application only into convictions that would trigger disqualification). UCCCA includes negligent hiring protections."
VIRGINIA,Virginia,VA,"Summary: Loss & restoration of civil rights:  All civil rights lost upon conviction of any felony; restored by gubernatorial restoration of rights (case-by-case restoration of voting rights by Gov. McAuliffe). Firearms rights:  All firearms rights lost upon conviction of any felony and certain juvenile adjudications; restored by court order or pardon. Pardon policy & practice:  Governor decides and may consult parole board; governor must report pardons, with reasons, to legislature annually.  Three kinds of pardon: “conditional” (commutation), “absolute” (innocence); and “simple” (forgiveness). “Simple” pardon does not expunge but serves as official forgiveness and removes some employment and education barriers; Governor may also grant restoration of rights. Five-year eligibility waiting period for simple pardon; no hearing. Pardons more frequent under Gov. McAuliffe; rights restorations freely available upon determination of eligibility. Judicial expungement & sealing:  Deferred adjudication, but no expungement, for certain first-time drug offenses.  Absolute pardon entitles person to expungement.  Automatic destruction of most juvenile records if person is at least age 19 and five years have elapsed since any juvenile hearing in any case, with several exceptions.  Non-conviction records may be expunged where case results in acquittal, nolle prosequi, or dismissal. Consideration of conviction in employment and licensing:  May not be denied a license “solely because of” a conviction unless directly related to the occupation/profession for which a license is sought, with factors specified. Conviction may be considered in determining applicant’s fitness for the occupation/profession. Ban-the-box in public employment by executive order (criminal record question removed from initial application; no background checks until candidate has signed waiver and is being considered for specific position)."
