State,Type of Administration,Type of Process,Eligibility Requirements,Effect,Frequency of Grants,Alternative Restoration
OK,"Governor decides, may not act without affirmative recommendation of board of pardons and parole. Okla. Const. art. VI, § 10. The governor must report to the legislature on each grant at regular session, though not required to give reasons. Id.","Public hearings at regular intervals, but applicant generally does not appear; favorable recommendations announced publicly and sent to governor; no reasons given. Process generally takes about six months.",Following completion of sentence or 5 years under supervision; misdemeanants eligible.,"Relieves legal disabilities, including firearms. Okla. Stat. tit. 21, § 1283A. Grounds for expungement for non-violent first offenders 10 years after conviction. Okla. Stat. tit. 22, § 18.",Frequent and Regular:About 100 pardon grants annually (80% of those that apply).,"Judicial sealing for first offender misdemeanants after 10 years. Okla. Stat. tit. 22, § 18."
OR,"Governor decides with no provision for advice. Or. Const. art. V, § 14. Governor must report to the legislature each grant of clemency, including the reasons for the grant.Or. Rev. Stat. § 144.660.","Applications filed with governor's office, copy to DA and correctional officials; review by governor's legal staff. By statute, governor may not act for 30 days after receipt of application. Or. Rev. Stat. § 144.650(4).","Generally governor will not consider misdemeanors and minor felonies, for which set-aside is available.","Relieves legal disabilities. As of 2019, seals the record of conviction.","Infrequent: The governor of Oregon has issued few pardons in recent years. Governor Kate Brown has granted four pardons in 3 1/2 years in office.
Between 2005 and January 2011, Gov. Kulongoski granted 20 pardons out of several hundred applications.",Set-aside for misdemeanor and minor felonies. Or. Rev. Stat. § 137.225.
PA,"Governor decides, may not act without affirmative recommendation of pardon board chaired by lieutenant governor. Pa. Const. art. IV, § 9(a).",Public hearings at regular intervals; notice published prior to hearing. 37 Pa. Cons. Stat. 81.233. Favorable recommendations are announced publicly and sent to governor; no reasons given. 37 Pa. Cons. Stat. § 81.301.,No eligibility requirements.,"Relieves all legal disabilities, including employment and licensing bars; provides grounds for expungement. Commonwealth v. C.S., 534 A.2d 1053 (Pa. 1987),","Frequent and Regular:Of 500-600 applications, Board recommends about 150 favorably each year, most of which are granted; 20% to misdemeanors and summary offenses.","Expungement for ""violations""; law prohibits discrimination in employment and licensing. 18 Pa. Cons. Stat. § 9124."
PR,"Governor decides. P.R. Const. art. IV, § 4. Parole Board may make non-binding recommendations.","Process administered by Parole Board. Corrections Department makes recommendation to the Parole Board, which in turn makes recommendation to the governor. There is no hearing and the process usually takes about one year.","No formal eligibility restrictions, but informal policy of recent governors has imposed a five-year waiting period following completion of sentence.",A grant of full pardon “erases forever” a conviction. 1960 P.R. Op. Sec’y Justice No. 33. The pardon document by its terms “eliminates” the conviction from police and court records.,Rare: Frequency of pardon grants has decreased since expansion of expungement law in 2005.,"Broad expungement authority for all offenses, after waiting period of six months to 5 years. P.R. Laws Ann. tit. 34, §§ 1725a-1 et seq."
RI,"Governor pardons ""by and with the advice and consent of the senate."" R.I. Const. art. IX, § 13.",No process specified.,No requirements.,Restores right to hold public office and lifts occupational and licensing bars.,Rare:No pardon issued to a living person in many years.,"First offender expungement after 10 yrs for felonies, 5 for misdemeanors. R.I. Gen. Laws § 12-1.3-3."
SC,"Independent board appointed by governor exercises pardon power except in capital cases (where governor retains power). S. C. Const. art. IV, § 14; S.C. Code Ann. § 24-21-920.","Board required to hold hearings at least four times a year, and in recent years every two months, at which it is required to allow the applicant to appear.","Following completion for sentence, or after 5 years under supervision, payment of restitution in full; state offenders only. S.C. Code Ann. § 24-21-950.","Erases legal effect of conviction, including obligation to register and use as predicate. S.C. Code Ann. §§ 24-21-990, 1000. Does not expunge, and conviction must be reported on applications.","Frequent and Regular:Board issues 300-400 grants per year, hearing about 80-85 cases every two months; grants 60-65% of applicants. Few misdemeanants.",Various expungement authorities for minor offenses.
SD,"Governor decides, S.D. Const. Article IV, § 3. Board of Pardons and Paroles must recommend pardon in order to obtain sealing relief. S.D. Codified Laws § 24-14-11.","Public hearings at regular intervals, recommendations sent to governor. Applicant must notify DA and sentencing judge, and must publish notice of application in a newspaper once a week for three weeks. Typically, six months to process a case. S.D. Codified Laws §§ 24-14-3, 4. Expedited procedure for misdemeanants implemented in 2014.","No eligibility period except 5-year waiting period after release for first offenders to apply for ""exceptional pardon."" S.D. Codified Laws § 24-14-8. Expedited process for misdemeanants requires waiting period of 5 and 10 years.","Persons released from all disabilities, including firearms if specified. Record sealed and conviction denied, unless pardon was issued by governor alone. S.D. Codified Laws § 24-14-11. No predicate effect.","Frequent and Regular:Between 60 and 70 applications filed annually, about 60% recommended by Board to the governor, who grants most of those recommended.",Deferred adjudication and judicial sealing for first offenders
TN,"Governor has the power to pardon. Tenn. Const. art. III, § 6. Governor advised by the parole board. Tenn. Code Ann. § 40-28-104. Must report grants and reasons to legislature ""when requested.""
Tenn. Code Ann. §§ 40-27-101, 107.",Public hearing and notice to prosecutor is required. Board must send names of those it is recommending and those it is not to legislative committees. Governor must notify AG and DA beforegrant is made public; they notify victim. Tenn. Code Ann. § 40-27-110.,Completion of sentence; additional period of good conduct and demonstration of rehabilitation and need.,"Pardon has limited legal effect, and does not restore civil or other rights, for which one must go to court. Tenn. Code. Ann. § 40-29-105(c). May serve as grounds for expungement, and thus restoration of firearms rights. See Tenn. Code Ann. § 40-32-101(h)","Uneven: In July 2017 Gov. Bevin issued 10 pardons, the first mid-term pardons in Tennessee in many years. In January 2011, Gov. Bredesen granted 22 pardons (""collected over his eight years in office""), 16 of which were recommended by the Board.",Expungement of certain less serious non-violent offenses after 5 yrs. Judicial restoration of rights.
TX,"Governor decides, may not act without affirmative recommendation of Board of Pardons and Paroles. Tex. Const. art. IV, § 11(b).","No public hearing, informal review process.","Upon completion of sentence, including misdemeanants. Tex. Admin. Cod. §§ 143.2, 143.10. First offender restoration to federal and foreign offenders. Tex. Admin. Code § 143.7.","Restores civil rights, and removes barriers ""to some, but not all, types of employment and professional licensing."" Basis for expungement. Predicate effect.","Sparing:Eight to tenpardons annually most years since 2001, and 1/3 of those recommended. 200 applications are received annually.",Expungement of pardoned convictions; deferred adjudication and nondisclosure.
UT,"Independent board appointed by the governor. Utah Const. art. VII, § 12; Utah Code Ann. § 77-27-5(1).","Public hearing at regular intervals, notice to DA and victim, majority vote, with reasons given. Utah Code Ann. § 77-27-5(2).",Five years after expiration of sentence; offenses for which expungement not available. Utah Admin Code r. 671-315.,Restores civil rights.,"Infrequent:Board receives only three to five requests for pardon a year, and only about 10 pardons have been granted in the past decade (availability of expungement makes less necessary).",Expungement for many offenses.
VT,"Governor decides, parole board may be consulted. Vt. Const. ch. II, § 20.","No hearing; parole board investigates and recommends. Vt. Stat. Ann. tit. 28, § 453.","Generally 10 years, must show rehabilitation and employment-related need, benefit to society.","Restores rights, relieves disabilities, including firearms.","Infrequent: Governor Shumlin granted only two pardons since taking office in 2011. In his nearly 8 years in office (2003-2011), Governor Douglas granted thirteen pardons, fewer than two a year.",Deferred adjudication and expungement.
VA,"Governor decides, parole board may be consulted. Va. Const. art. V, § 12. Constitution also requires governor to make annual report to the legislature setting forth ""the particulars of every case"" of pardon or commutation granted, with reasons. Id.","No hearing, paper review by parole board. Restoration of rights applications processed in 60-days by Secretary of the Commonwealth.","3-yr eligibility waiting period for restoration of rights after violent crime or serious crime; Immediate and automatic for non-violent crime, if eligible; ROR available for those convicted in Virginia, either in state or federal court. Simple pardon available after 5 years.","""Simple"" pardon does not expunge the record, but helps with employment, education, and self-esteem.No expungement, has predicate effect.","Sparing:Gov. McAuliffe pardoned 38 individuals in his first two years in office, and restored rights to thousands. Gov. McConnell restored rights generously, but pardoned only seven individuals. He also commuted two sentences retroactively to prevent deportation. Governor Kaine pardoned 108 individuals in his four years in office.",Deferred adjudication but no expungement; judicial restoration of firearms.
VI,"Governor decides. V.I. Organic Act of 1954, § 11.",No process specified.,No requirements.,Relieves bar to serving on government board or commission.,No information available.,"Expungement available for misdemeanors, deferred adjudication, and youthful offenses."
WA,"Governor decides ""under such regulations and restrictions as may be prescribed by law."" Wash. Const. art. III, §§ 9. Clemency board may be consulted. Wash. Rev. Code §§ 9.94A.885 (1), 10.01.120. Governor reports to legislature with reasons. Wash. Const. art. III, § 11.","Public hearing, DA and victims must be notified. Wash. Rev. Code § 9.94A.885 (3).",None,"Vacates conviction, relieves all legal disabilities; conviction need not be reported, no predicate effect. Wash. Rev. Code § 994A.030 (11)(b).","Sparing:About 35 petitions each year, 8-10 of which go to hearing. Between January 2011 and August 2017, Gov. Jay Inslee, and denied a number of favorable recommendations from Board. Gov. Gregoire (2003-2011) granted 27 pardons, two conditional, and two to avoid deportation.",Judicial vacatur for most convictions; separate firearms restoration procedure.
WV,"Governor decides, may seek advice from parole board. W. Va. Const. art. 7, § 11; W. Va. Code § 5-1-16. Governor reports facts of grants with reasons. W. Va. Const. art. 7, § 11; W. Va. Code § 5-1-16.","No public hearing; board must notify DA and judge 10 days before making recommendation to governor. As a matter of policy, governor always seeks recommendation from board.",None,"Lifts most legal barriers, but does not restore firearms rights. Perito v. County of Brooke, 597 SE 2d 311, 321 (W. Va. 2004). May be given predicate effect.","Rare:Governor receives from 50-100 applications each year, but pardon grants are rare (only 121 in 36 years, by nine governors).",Misdemeanor first offender expungements.
WI,"Governor decides under a non-statutory pardon advisory board. Wis. Const. art. V, § 6. Governor must communicate annually with legislature each case of clemency and the reasons. Wis. Const. art. V, § 6.","Under past governors, hearings have been held at regular intervals for those applicants that show ""a demonstrated need for a pardon."" No hearings held under current governor. By statute, applicants must publish notice in county paper or on courthouse door, and deliver to DA, judge and victim. Wis. Stat. §§ 304.09?.10.",Five-year eligibility waiting period; misdemeanants ineligible unless waiver granted.,"Relieves legal disabilities and signals rehabilitation, but does not expunge or seal the conviction. May be given predicate effect.","Infrequent/uneven:Governor Walker has granted no pardons to date, and has stated an intent to accept no applications. Gov.Doyle granted 293 pardons overall, 176 in his final year, mainly for dated minor offenses, representing 15% of applicants, all with Board recommendation. Few misdemeanants.",Expungement or sealing of certain adult misdemeanor convictions. Wis. Stat. § 973.015.
WY,"Governor decides, subject to legislative controls on the manner of applying. Wyo. Const. art. 4, § 5. Governor must report every two years to legislature on grants, with the reasons for each one. Id.","Statutory application process involves review by governor's staff. Process takes 4-6 weeks. Notice to DA three weeks prior to acting, and DA must provide details of offense. Wyo. Stat. Ann. § 7-13-801 et seq.","10 years after sentence for pardon, 5 years for restoration of rights. Excludes sex offenses.",Relieves legal disabilities but does not expunge. Maybe given predicate effect.,"Infrequent: Current governor has issued only a handful of pardons in eight years. From 2005 to 2010, 22 pardons and 28 restorations of rights (25% of applications filed).",Governor also grants restoration of rights upon recommendation of parole board. Federal and state offenders eligible.
Fed,"President decides under a non-statutory advisory scheme. U.S. Const. art. II, § 2; 28 CFR Part 1. No reporting requirement, no notice.","Informal process described in 28 C.F.R. Part 1 and United States Attorneys Manual. No time limit, and applications may remain pending for years.",5 years after sentence or release from confinement. 28 C.F.R. § 1.2. Generally not eligible if on parole. Id.,"Relieves legal disabilities signifies rehabilitation. Does not expunge, has predicate effect.","Sparing: Only about 10-15 pardons per year over the past twenty years, representing less than 5% of those who apply. President Obama has issued only 52 pardons in five years and denied more than 1300 applications with more than 800 awaiting decision.",None
